generated_filenames,Minimal_Mean_Sentence_Length,Occurrences,Min_Number_of_Speakers,Max_Number_of_Speakers,Minimal_annotation_1,Maximal_annotation_1,Minimal_annotation_2,Maximal_annotation_2,min_speech_length_span,max_speech_length_span,min_speech_length_stdev,max_speech_length_stdev,min_food_verbs,food_noun_count,trial,num_generations
gen19.txt,0,1,2,4,0,3,1,3,0,100,0,100,0,0,2,3
gen43.txt,0,1,2,4,0,3,1,3,0,100,0,100,0,0,2,3
gen73.txt,0,1,2,4,0,3,1,3,0,100,0,100,0,0,2,3
gen19.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,1,3,3
gen43.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,1,3,3
gen73.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,1,3,3
gen19.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,2,4,3
gen43.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,2,4,3
gen73.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,2,4,3
gen19.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,3,5,3
gen43.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,3,5,3
gen73.txt,0,1,2,4,0,3,1,3,0,100,0,100,1,3,5,3
gen43.txt,0,1,2,4,0,3,1,3,0,100,0,100,2,3,5,2
gen73.txt,0,1,2,4,0,3,1,3,0,100,0,100,2,3,5,2
gen43.txt,0,1,2,4,0,3,1,3,0,100,0,100,2,3,5,2
gen73.txt,0,1,2,4,0,3,1,3,0,100,0,100,2,3,5,2
