	filename	num_persons	drama	mean_sentence_length	speech_lengths	speech_length_span	speech_length_stdev	regression_prediction
0	gen226.txt	1	['PRINZESSIN: Zuerst Tomaten, dann Salat, und dann Salat.']	0.0	[7]	0		1.1523644674674245
1	gen232.txt	4	['PRINZESSIN: Zuerst Tomaten, dann Salat.', ' KARL: Was?', ' FRAUGLAUBELEICHTIN: Die Suppe ist fertig!', ' GROSSMUTH: Das ist der beste Salat, den die Welt hat!', ' FRAUGLAUBELEICHTIN: Wie?', ' GROSSMUTH: Ich kann nicht essen, wenn ich nicht esse!', ' FRAUGLAUBELEICHTIN: Ich sage dir, es gibt keinen Menschen, der nicht essen']	5.285714285714286	[4, 1, 4, 9, 1, 8, 10]	9	3.7289089429432183	0.3847145385176845
2	gen391.txt	2	['PRINZESSIN: Zuerst Tomaten, dann Salat, dann Gemüse.', ' SCHÖN: Ei, so! Da kommt einer, dem der Kopf schon ganz zerfallen ist.', ' VARUS: Was denn?', ' SCHÖN: Das ist ja der Teufel! Das ist ja so eine dumme Erfindung. – Da kommen ja die Dinger in den Garten hinein.', ' VARUS: Ich denke, das kommt auf den Garten an. Da ist ein kleiner Garten. Ich glaube, es hat schon lange ein großer Garten mit Bäumen und mit']	13.6	[6, 12, 2, 22, 26]	24	10.237187113655782	0.1797997313221783
3	gen26.txt	2	['PRINZESSIN: Zuerst Tomaten und Zwiebeln, dann Salat.', ' FANITAS: Und dann noch Salat und Salat.']	6.0	[6, 6]	0	0.0	1.066682395606405
4	gen385.txt	4	['PRINZESSIN: Zuerst Tomaten, dann Knoblauch und Lorbeer. Und dann –', ' CROMWELL: So – so –', ' HANSPFRIEM: Nun, nun!', ' BONPEL: Wie denn?', ' HANSPFRIEM: Nun, das kann ja wohl so ein Kerl sein. Nun, nun, nun, dann will ich aber –', ' BONPEL: Nun, so –', ' HANSPFRIEM: Nun?', ' BONPEL: Nun?']	4.875	[9, 4, 2, 2, 17, 3, 1, 1]	16	5.540435774506241	0.20498233593789653
5	gen32.txt	3	"[""PRINZESSIN: Zuerst Tomaten und Pfeffer – aber ich will dir's erklären."", ' FRAUSPERMUND: Wenn Sie die Suppe nur nicht mehr vertragen, ich will Sie schon einmal in meinem Haus sehen.', "" PETER: Ja, Sie haben Recht, Sie haben Recht, Herr Professor, Sie sollen's nicht übel nehmen, daß Sie sich auf den Tisch setzen und mir die Suppe vorsetzen."", ' FRAUSPERMUND: Wenn wir uns nicht auf den Tisch setzen – das wird uns schon zu viel Arbeit kosten.']"	17.5	[10, 17, 26, 17]	16	6.5574385243019995	0.1972896136958057
6	gen352.txt	3	['PRINZESSIN: Zuerst Tomaten –', ' HERRPFRIEDRIGIAS: Ei, Herr Doktor!', ' FRAUSCHMIDT: Ei, Herr Doktor!', ' HERRPFRIEDRIGIAS: Ei, Herr Doktor!', ' FRAUSCHMIDT: Ei, Herr Doktor! Ei, Herr Doktor! Ei, Herr Doktor! Ei, Herr Doktor! Ei, Herr Doktor! Ei doch, Herr Doktor! Ei, Herr Doktor! Ei, Herr Doktor! Ei, Herr Doktor! Ei,']	8.2	[3, 3, 3, 3, 29]	26	11.627553482998906	0.4833930754108563
7	gen434.txt	1	['PRINZESSIN: Zuerst Tomaten. Und jetzt, lieber Mann, dann Bohnen.']	0.0	[8]	0		0.2228835361245157
8	gen420.txt	2	"['PRINZESSIN: Zuerst Tomaten, dann Salat, und dann Kartoffeln dazu.', "" FRAUHEINRICH: So? Ich hab'nur'ne halbe Portion, und wenn's nicht mehr schmeckt, so wird man schon die ganze Suppe wegfressen."", ' FRAUHEINRICH: Und ich muß Ihnen sagen – wenn ich jetzt erst die Suppe auf die Beine bekomme, und dann das ganze Salatpack ausbröseln und das ganze Salatpack ausbrödeln und das Fleisch aufschneiden – so ist meine Suppe nicht mehr da']"	21.66666666666667	[8, 18, 39]	31	15.821925715074425	0.3590704089044116
9	gen346.txt	2	['PRINZESSIN: Zuerst Tomaten und Paprika, dann Bohnen.', ' FRAUVONTELLHEIM: Nun, so will ich auch ein wenig essen.', ' FRAUVONTELLHEIM: Ei, so will ich auch essen.', ' FRAUVONTELLHEIM: So wollen wir auch einmal essen, oder wir müssen uns in die Küche setzen.', ' FRAUVONTELLHEIM: Ei was? Ei was denn, was?', ' FRAUVONTELLHEIM: Ich will nicht mehr essen und trinken, oder ich']	8.166666666666666	[6, 8, 6, 14, 6, 9]	8	3.1251666622224588	0.14195296681438666
