generated_filenames,Minimal_Mean_Sentence_Length,Min_Number_of_Speakers,Max_Number_of_Speakers,Regression_score,trial,num_generations
gen391.txt,10,0,4,0,0,165
gen32.txt,10,0,4,0,0,165
gen420.txt,10,0,4,0,0,165
gen193.txt,10,0,4,0,0,165
gen144.txt,10,0,4,0,0,165
gen178.txt,10,0,4,0,0,165
gen186.txt,10,0,4,0,0,165
gen192.txt,10,0,4,0,0,165
gen409.txt,10,0,4,0,0,165
gen347.txt,10,0,4,0,0,165
gen27.txt,10,0,4,0,0,165
gen231.txt,10,0,4,0,0,165
gen225.txt,10,0,4,0,0,165
gen219.txt,10,0,4,0,0,165
gen386.txt,10,0,4,0,0,165
gen31.txt,10,0,4,0,0,165
gen437.txt,10,0,4,0,0,165
gen152.txt,10,0,4,0,0,165
gen422.txt,10,0,4,0,0,165
gen387.txt,10,0,4,0,0,165
gen208.txt,10,0,4,0,0,165
gen234.txt,10,0,4,0,0,165
gen397.txt,10,0,4,0,0,165
gen354.txt,10,0,4,0,0,165
gen195.txt,10,0,4,0,0,165
gen142.txt,10,0,4,0,0,165
gen143.txt,10,0,4,0,0,165
gen427.txt,10,0,4,0,0,165
gen382.txt,10,0,4,0,0,165
gen235.txt,10,0,4,0,0,165
gen223.txt,10,0,4,0,0,165
gen237.txt,10,0,4,0,0,165
gen394.txt,10,0,4,0,0,165
gen380.txt,10,0,4,0,0,165
gen357.txt,10,0,4,0,0,165
gen196.txt,10,0,4,0,0,165
gen197.txt,10,0,4,0,0,165
gen381.txt,10,0,4,0,0,165
gen395.txt,10,0,4,0,0,165
gen245.txt,10,0,4,0,0,165
gen45.txt,10,0,4,0,0,165
gen442.txt,10,0,4,0,0,165
gen456.txt,10,0,4,0,0,165
gen330.txt,10,0,4,0,0,165
gen50.txt,10,0,4,0,0,165
gen44.txt,10,0,4,0,0,165
gen278.txt,10,0,4,0,0,165
gen250.txt,10,0,4,0,0,165
gen293.txt,10,0,4,0,0,165
